komentar,value,clean_text,sentiment,sentiment_label
"Tbh semuanya sih bagus tapi kalau buat biaya penanganan sama biaya layanan itu menurut ku aku kemahalan....belum sama ongkir, terus masalahnya di bagian kalau ngechat sama cs lemotnya minta ampun...always disuruh ngulang2 komplain terus kalau lagi ngeluh tentang paket yang kurang atau salah kirim... kalau yang bagian flash sale ga ada yg berubah sih di Lazada harganya tetep aja. Bintang tiga aja dulu deh masih kurang memuaskan walaupun still masih sering belanja di Lazada",3,tbh sih bagus biaya penanganan biaya layanan ku kemahalanbelum ongkir ngechat cs lemotnya ampunalways disuruh ngulang2 komplain ngeluh paket salah kirim flash sale ga berubah sih lazada harganya tetep aja bintang aja deh memuaskan still belanja lazada,0.0,netral
"D saat saya sudah nyaman bertransaksi menggunakan kredivo,dan slalu membayar tepat waktu sebelum melebihi batas tanggal jatuh tempo,.. Eehh skrng tidak dapat d gunakan dengan alasan yg tidak saya pahami.. Dulu jg seperti itu saat saya sudah nyaman bertransaksi menggunakan payleter kejadian yg sama pun terjadi... Sangat mengecewakan... Setiap saya menghubungi CS dari lazada tanggapannya bye terima kasih,.. Slalu begitu, tidak pernah membalas pertanyaan dr pembeli dengan detail..",1,d nyaman bertransaksi kredivodan slalu membayar melebihi batas tanggal jatuh tempo eehh skrng d alasan pahami jg nyaman bertransaksi payleter kejadian mengecewakan menghubungi cs lazada tanggapannya bye terima kasih slalu membalas dr pembeli detail,0.0,netral
pengiriman lama. balasan dari toko penjual juga lama Ongkir nya mahal. mahal dari barang itu saya kalau bisa pengiriman nya lumayan . cepat. respon toko balas chat cepat dan ongkir nya sesuai dari harga. barang itu saja yang saya inginkan semuga kedepan jauh lebih baik lagi,2,pengiriman balasan toko penjual ongkir nya mahal mahal barang pengiriman nya lumayan cepat respon toko balas chat cepat ongkir nya sesuai harga barang semuga kedepan,0.0,netral
"Padahal udah lama pake lazada tapi pelayanan untuk pembatalan pesanan sangat sulit, pesanan tidak dikirim dan lewat masa estimasi datang. Sudah lapor ke CS lazada tidak ada hasil, ke toko pun tidak ada hasil. Sangat mengecewakan. Lebih baik pake shopee sih. Semua sangat mudah. Mohon maaf, tolong ditingkatkan lagi pelayanannya lazada 🙏🏻",1,udah pake lazada pelayanan pembatalan pesanan sulit pesanan dikirim estimasi lapor cs lazada hasil toko hasil mengecewakan pake shopee sih mudah mohon maaf tolong ditingkatkan pelayanannya lazada,0.0,netral
"lebih suka belanja online di Lazada daripada di apk online lainnya,,, selain sering gratis ongkir juga harga lebih murah dengan barang& kualitas yg sama.. hanya saja kalau bisa jangan pernah menggunakan jasa Ninja 🙏 , saya pribadi sangat kecewa dengan kerja Ninja yg lelet dan tidak jujur..",5,suka belanja online lazada apk online gratis ongkir harga murah barang kualitas jasa ninja pribadi kecewa kerja ninja lelet jujur,0.0516,positif
"Aplikasi yg sangat bagus,harga"" yg sangat murah, sering ada promo dan bebas ongkir sangat membantu untuk belanja online.semakin hari semakin nyaman belanja dari aplikasi ini.maju terus lazada, sukses.",5,aplikasi bagusharga murah promo bebas ongkir membantu belanja onlinesemakin nyaman belanja aplikasi inimaju lazada sukses,0.0,netral
"Ongkirnya jadi mahal mahal semua, kalau di wilayah pulau jawa sih iya aja ada vocher ongkir dan diskon, kalau untuk yang di luar pulau jawa jadi berat di ongkir, apalagi voucher diskonnya juga yang keluar di menu ambil voucher minimal belanjanya harus di atas 200ribu.",2,ongkirnya mahal mahal wilayah pulau jawa sih iya aja vocher ongkir diskon pulau jawa berat ongkir voucher diskonnya menu ambil voucher minimal belanjanya 200ribu,0.0,netral
kepada pihak lazada tolong buat fitur untuk memilih jasa pengiriman jangan automatis sama lazada nya soalnya jasa pengiriman paket lazada itu lelet banget jadi males klo mau order di apk lazada. kalau udah ada fitur pilih jasa pengiriman saya akan tambahkan lagi bintang nya.,1,lazada tolong fitur memilih jasa pengiriman automatis lazada nya jasa pengiriman paket lazada lelet banget males klo order apk lazada udah fitur pilih jasa pengiriman tambahkan bintang nya,0.0,netral
"Banyak penjual yg tipu² ga becus, udah pesen barang dua kali di tokò yg berbeda tapi barang tidak kunjung di kirim sampe seminggu, sampai akhirnya pesanan dibatalkan oleh lazada karena dr sellerpun tidak ada jawaban sedikitpun pdhl sudah berkali² di chat. Mohon kebijakannya dr lazada untuk memilah seller yg gak jelas seperti itu.",2,penjual tipu² ga becus udah pesen barang kali tokò berbeda barang kunjung kirim sampe seminggu pesanan dibatalkan lazada dr sellerpun sedikitpun pdhl berkali² chat mohon kebijakannya dr lazada memilah seller gak,0.0,netral
"Hai Lazada! Tolong tambahkan Tema gelap alias Hitam dong. Juga, kalau bisa. Dipilihan pesan. Tolong ditambahkan opsi untuk menghapus semua pesan yang sudah terbaca. Jadi ngga harus digeser satu2. Hihi.. Terima kasih banyak atas kerja keras dan bantuannya. Sukses selalu ya buat usahanya. Fighting!",5,hai lazada tolong tambahkan tema gelap alias hitam dipilihan pesan tolong opsi menghapus pesan terbaca ngga digeser satu2 hihi terima kasih kerja keras bantuannya sukses ya usahanya fighting,-0.3612,negatif
"Tadi pagi aku main game tap2 tapi dpt mesin cuci gratis malah gak nampak status checkout ya.. Game nya benar ternyata ini menipu ya... Jgn main game tap2 ya..jg aku pernah main game utk dpt reward ternyata tgl dah batas gak dpt, kayaknya lazada curang ya... Semoga kedepan jgn suka main curang atau suka main menipu ya... Tks 🙏",1,pagi main game tap2 dpt mesin cuci gratis gak nampak status checkout ya game nya menipu ya jgn main game tap2 yajg main game utk dpt reward tgl dah batas gak dpt kayaknya lazada curang ya semoga kedepan jgn suka main curang suka main menipu ya tks,0.5994,positif
"baru jadi pelanggan di lazada. 4kali belanja, pengiriman tepat waktu, barang sesuai pesanan, pengepasan baik.kurir ramah.. lazada bagoooss. semoga makin banyak discoun☺",5,pelanggan lazada 4kali belanja pengiriman barang sesuai pesanan pengepasan baikkurir ramah lazada bagoooss semoga discoun,0.0,netral
Fitur seller asal kota nya malah di hilangin.. masak iya beli barang mahalan ongkir daripada barangnya.. Kalo fiture kota seller ada kan kita selaku buyer bisa pilih seller dari kota yang sama.. Update kali ini BAD 👎 Bintang di revisi jadi ⭐️ aja untuk lazada..,1,fitur seller kota nya hilangin masak iya beli barang mahalan ongkir barangnya kalo fiture kota seller buyer pilih seller kota update kali bad bintang revisi aja lazada,-0.5423,negatif
